Layer,Name,GEOID,Longitude,Latitude,EDX_2016-2020,EDX_2015-2019,EDX_2014-2018,PCI_2016-2020,PCI_2015-2019,PCI_2014-2018,PCI_2013-2017,PCI_2012-2016,PCI_2011-2015,PCI_2010-2014,PCI-W_2016-2020,PCI-W_2015-2019,PCI-W_2014-2018,PCI-W_2013-2017,PCI-W_2012-2016,PCI-W_2011-2015,PCI-W_2010-2014,PCI-B_2016-2020,PCI-B_2015-2019,PCI-B_2014-2018,PCI-B_2013-2017,PCI-B_2012-2016,PCI-B_2011-2015,PCI-B_2010-2014,PCI-A_2016-2020,PCI-A_2015-2019,PCI-A_2014-2018,PCI-A_2013-2017,PCI-A_2012-2016,PCI-A_2011-2015,PCI-A_2010-2014,PCI-H_2016-2020,PCI-H_2015-2019,PCI-H_2014-2018,PCI-H_2013-2017,PCI-H_2012-2016,PCI-H_2011-2015,PCI-H_2010-2014,PCI-P_2016-2020,POV_2016-2020,POV_2015-2019,POV_2014-2018,POV_2013-2017,POV_2012-2016,POV_2011-2015,POV_2010-2014
Community area,West Lawn,65,-87.726927,41.769774,0.795951373,0.801825776,0.797821439,22993.45057,24822.87815,23149.93014,21240.35264,20893.11119,21296.49563,20609.91127,35680.4702,36663.11753,34312.58735,32350.16265,33046.76442,32797.08959,31541.17307,51845.26799,42484.7577,38733.92929,26022.61851,23449.10544,22914.06944,24682.49134,31618.07956,30190.85112,22907.75318,22724.92478,22727.10702,16348.94925,15644.29589,20585.92969,20426.20041,19306.47702,18243.62515,17431.54008,17740.8706,17316.66141,23402.58919,17.13095567,12.66707748,13.08630133,15.38357546,16.01825439,14.07450227,18.7387315
Community area,Chicago Lawn,66,-87.695667,41.771849,0.764470214,0.761680681,0.755460061,18451.25136,17543.48961,16603.29212,16245.94116,15960.6285,15445.31416,15031.03313,28689.19419,34135.79894,31278.16153,29881.10996,26828.36116,27178.56137,22658.66972,20199.9542,18953.79741,17603.79469,16966.58457,16892.73138,16273.83089,15824.96757,67200.17542,42054.76651,64334.66534,54363.22245,55953.88061,15541.00402,15203.37857,16935.7766,15560.87043,14899.35356,14603.38131,14153.53814,13197.36329,12910.50994,35217.08553,22.8971793,24.24727808,26.19351063,28.92608241,32.22975389,32.89295606,34.68885957
Community area,West Englewood,67,-87.666598,41.775926,0.723645088,0.742437014,0.74515133,18358.16418,17580.67625,17037.63953,16312.16705,15379.25849,14482.5634,13839.1287,16716.51245,14793.08358,16885.94,17639.24018,12620.25842,12163.35857,23174.09415,19014.01703,18184.69502,17707.90128,16962.61995,16142.13309,15008.66066,14260.07258,32622.26009,32520.48058,12429.572,13611.65953,,,22979.89159,10147.89882,11522.33909,11063.83216,10876.31691,10619.85168,11327.31222,10220.20444,,32.28086077,33.27760618,32.98216295,34.24595954,36.49283716,38.19186093,38.22653031
Community area,Englewood,68,-87.642502,41.777201,0.690056542,0.71822966,0.716621613,16350.83723,16684.15694,16437.06003,14688.20571,13476.60135,12773.27358,12508.54942,26777.50927,19770.30144,16344.64681,13227.12684,26915.15404,24968.37529,24773.32704,16221.49505,15224.12067,15784.26046,14411.46742,13658.31036,13052.90344,13073.41486,30955.12911,21731.94188,23638.6135,24152.04419,26328.67131,58991.85624,58535.65088,11809.38587,6847.942515,7663.586959,6296.074897,7036.479074,7727.627851,8637.455084,,40.85606872,40.10256256,41.65237693,45.1407005,44.39007128,45.73413082,49.59501415
Community area,Greater Grand Crossing,69,-87.616139,41.763251,0.751426864,0.743630257,0.727561511,20866.95962,19158.5025,17987.59922,17994.39239,18072.64023,18049.10798,18380.44612,27115.81201,29132.28803,11559.17924,17465.70563,20564.79874,15290.96057,28698.40999,20736.81565,19608.95713,18629.81801,18415.57761,18357.31118,18255.08759,18539.44006,46609.28807,36996.70055,36831.55616,,,59051.79739,52755.02584,19865.57987,25792.18051,26727.05718,31369.8199,49917.22557,57175.94935,14186.86661,,33.41083386,35.86726727,37.50976859,38.8549827,38.5666605,39.71542661,39.53151161
Community area,Lincoln Park,7,-87.649491,41.922696,0.327730142,0.32838547,0.347487428,94927.34078,94590.59008,90079.47526,82628.94993,81162.18716,81953.60329,79329.43627,102918.9317,101809.658,98038.35523,89764.46735,89232.1041,88267.03641,86278.76707,39150.36806,31626.22999,32142.45771,32243.51735,30571.27069,29432.997,34170.43142,89777.98224,94218.54511,88901.81291,80058.4391,68873.81045,74223.98164,62996.02364,48349.81788,48742.25664,41510.88884,39704.99504,37989.08777,40310.07716,35239.86373,,8.863711429,9.14617441,9.528853911,10.76586974,10.84061301,11.1675681,13.25392041
Community area,Ashburn,70,-87.708363,41.745756,0.801726693,0.790159463,0.786666021,27274.82442,27176.02132,26876.09331,27066.54758,27228.06601,26801.58932,27093.69805,37479.5618,33049.36547,33514.66591,33743.60053,32014.25512,32195.83087,34525.30346,32064.1305,31541.73858,30677.00223,31599.65022,32314.70892,31743.12669,32791.89295,83640.02548,51782.98988,47058.30212,38372.4411,27677.75304,24730.06904,17746.9118,18991.64986,19500.63289,18994.74092,18210.02467,17771.94406,16938.36058,16185.36268,13242.34626,13.54200826,13.11170956,11.79972092,11.88370327,12.73308284,13.13296914,13.57411523
Community area,Auburn Gresham,71,-87.656305,41.744203,0.787598857,0.7907425,0.796050042,21812.50938,21276.91288,21138.63543,20601.57244,19268.27649,19027.49731,18721.20101,26371.72525,25800.72844,18347.47049,32052.58518,33568.1178,36602.17735,15131.74904,21989.73365,21109.54401,21379.77763,20730.8617,19381.67381,19187.8287,19058.68495,13687.85788,14239.04526,19375.38244,30185.89587,29262.97219,32261.20136,31822.34504,14202.56014,14507.63881,11983.75057,12101.0207,15020.61682,12750.59991,11405.70116,,25.01200878,25.16863313,26.47943658,29.75856275,29.90708172,30.18360904,31.51317427
Community area,Beverly,72,-87.675072,41.713148,0.579539509,0.570443703,0.565147011,58490.92514,56388.93892,53154.77902,51119.20423,49636.13059,46565.78872,48576.0994,65343.35198,62946.74732,59949.86234,57381.55739,55377.75338,51483.32289,52791.97053,51607.42723,43261.57693,43021.44067,40997.28413,40435.3393,39743.5927,42619.67325,152896.4038,154785.2769,26935.82254,33046.39632,35554.30267,51534.50677,27090.43149,33930.90861,36348.48199,36289.67591,41633.03627,37544.3415,37024.26244,39652.36151,14201.52427,6.271148334,4.691243438,4.186098642,4.283760111,3.59751097,4.30526955,3.45643369
Community area,Washington Heights,73,-87.648897,41.717495,0.791393503,0.799105936,0.804556077,25527.48278,25831.78287,25715.74717,25044.95701,25129.95851,24694.68988,22811.84736,40793.57222,40669.11999,34862.37974,47182.48702,36188.22195,33752.2053,16080.22712,25696.9463,25594.87963,25586.33918,24632.39897,24878.4143,24343.88087,22515.79561,71934.8444,87643.31525,15784.95264,53597.13724,,,,5951.097686,9416.5178,15981.69707,15834.22865,19890.9247,26222.95352,25260.82305,,20.18031554,21.07600005,19.79252725,19.38868753,18.72611886,15.79967117,17.45950662
